MUTCD Code,DESCRIPTION / DISPLAY NAME,SIZE,L,W,SQ. FT.,MANUFACTURING PROCESS,SIGN SHAPE,SIGN TYPE,SHEETING,ETC SKU FOR WEBSITE,ETC SKU,TYPE,VENDOR,U/M,Unnamed: 15,Unnamed: 16,Unnamed: 17,SHEETING ABBREVIATED,Image URL,Image Source
W20-4,ONE LANE ROAD SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-4.png,PA Highways
W20-4,ONE LANE ROAD SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-4.png,PA Highways
W20-5-3,RECTANGULAR LEFT LANE CLOSED SIGN,"36""x48""",  36.00 ,  48.00 ,  12.00 ,FINISHED,RECTANGLE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-5-3.png,PA Highways
W20-5-4,RECTANGULAR RIGHT LANE CLOSED SIGN,"36""x48""",  36.00 ,  48.00 ,  12.00 ,FINISHED,RECTANGLE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-5-4.png,PA Highways
W20-5AL,LEFT TWO LANES CLOSED SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-5al.png,PA Highways
W20-5AR,RIGHT TWO LANES CLOSED SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-5ar.png,PA Highways
W20-5L,LEFT LANE CLOSED SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-5l.png,PA Highways
W20-5L,LEFT LANE CLOSED SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-5l.png,PA Highways
W20-5R,RIGHT LANE CLOSED SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-5r.png,PA Highways
W20-5R,RIGHT LANE CLOSED SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-5r.png,PA Highways
