MUTCD Code,DESCRIPTION / DISPLAY NAME,SIZE,L,W,SQ. FT.,MANUFACTURING PROCESS,SIGN SHAPE,SIGN TYPE,SHEETING,ETC SKU FOR WEBSITE,ETC SKU,TYPE,VENDOR,U/M,Unnamed: 15,Unnamed: 16,Unnamed: 17,SHEETING ABBREVIATED,Image URL,Image Source
D10-1,SINGLE-DIGIT REFERENCE LOCATION SIGN,"12""x24""",  12.00 ,  24.00 ,  2.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-1.svg,SVG
D10-1A,SINGLE-DIGIT INTERMEDIATE REFERENCE LOCATION SIGN,"12""x36""",  12.00 ,  36.00 ,  3.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-1a.svg,SVG
D10-2,DOUBLE-DIGIT REFERENCE LOCATION SIGN,"12""x36""",  12.00 ,  36.00 ,  3.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-2.svg,SVG
D10-2A,DOUBLE-DIGIT INTERMEDIATE REFERENCE LOCATION SIGN,"12""x48""",  12.00 ,  48.00 ,  4.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-2a.svg,SVG
D10-3,TRIPLE-DIGIT REFERENCE LOCATION SIGN,"12""x48""",  12.00 ,  48.00 ,  4.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-3.svg,SVG
D10-3A,TRIPLE-DIGIT INTERMEDIATE REFERENCE LOCATION SIGN,"12""x60""",  12.00 ,  60.00 ,  5.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-3a.svg,SVG
D10-5,ENHANCED REFERENCE LOCATION WITH DECIMAL SIGN,"18""x60""",  18.00 ,  60.00 ,  7.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-5.svg,SVG
D1-1,SINGLE-LINE DESTINATION SIGN,"48""x8""",  48.00 ,  8.00 ,  2.67 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-1.svg,SVG
D1-1,SINGLE-LINE DESTINATION SIGN,"72""x12""",  72.00 ,  12.00 ,  6.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-1.svg,SVG
D11-1,BIKE ROUTE SIGN,"24""x18""",  24.00 ,  18.00 ,  3.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d11-1.svg,SVG
D11-1,BIKE ROUTE SIGN,"30""x24""",  30.00 ,  24.00 ,  5.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d11-1.svg,SVG
D1-1A,SINGLE-LINE DESTINATION MILEAGE SIGN,"48""x8""",  48.00 ,  8.00 ,  2.67 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-1a.svg,SVG
D1-1A,SINGLE-LINE DESTINATION MILEAGE SIGN,"72""x12""",  72.00 ,  12.00 ,  6.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-1a.svg,SVG
D1-2,DOUBLE-LINE DESTINATION SIGN,"48""x16""",  48.00 ,  16.00 ,  5.33 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-2.svg,SVG
D1-2,DOUBLE-LINE DESTINATION SIGN,"72""x24""",  72.00 ,  24.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-2.svg,SVG
D12-2,CAR POOL INFORMATION SIGN,"36""x30""",  36.00 ,  30.00 ,  7.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d12-2.svg,SVG
D12-2,CAR POOL INFORMATION SIGN,"54""x42""",  54.00 ,  42.00 ,  15.75 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d12-2.svg,SVG
D12-2,CAR POOL INFORMATION SIGN,"72""x54""",  72.00 ,  54.00 ,  27.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d12-2.svg,SVG
D12-5,TRAVEL INFO CALL 511 SIGN,"48""x60""",  48.00 ,  60.00 ,  20.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d12-5.svg,SVG
D1-2A,DOUBLE-LINE DESTINATION MILEAGE SIGN,"48""x16""",  48.00 ,  16.00 ,  5.33 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-2a.svg,SVG
D1-2A,DOUBLE-LINE DESTINATION MILEAGE SIGN,"72""x24""",  72.00 ,  24.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-2a.svg,SVG
D1-3,TRIPLE-LINE DESTINATION SIGN,"48""x24""",  48.00 ,  24.00 ,  8.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-3.svg,SVG
D1-3,TRIPLE-LINE DESTINATION SIGN,"72""x36""",  72.00 ,  36.00 ,  18.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-3.svg,SVG
D13-3AL,FREEWAY ENTRANCE LEFT SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d13-3al.png,PA Highways
D13-3AR,FREEWAY ENTRANCE RIGHT SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d13-3ar.png,PA Highways
D1-3A,TRIPLE-LINE DESTINATION MILEAGE SIGN,"48""x24""",  48.00 ,  24.00 ,  8.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-3a.svg,SVG
D1-3A,TRIPLE-LINE DESTINATION MILEAGE SIGN,"72""x36""",  72.00 ,  36.00 ,  18.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-3a.svg,SVG
D14-101,EMERGENCY DETOUR - FOLLOW (COLOR) ARROW SIGN,"72""x48""",  72.00 ,  48.00 ,  24.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d14-101.png,PA Highways
D14-102,EMERGENCY DETOUR (COLOR) TRAILBLAZER SIGN,"18""x24""",  18.00 ,  24.00 ,  3.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d14-102.png,PA Highways
D14-102,EMERGENCY DETOUR (COLOR) TRAILBLAZER SIGN,"24""x36""",  24.00 ,  36.00 ,  6.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d14-102.png,PA Highways
D14-103,ALL TRAFFIC MUST EXIT SIGN,"60""x60""",  60.00 ,  60.00 ,  25.00 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d14-103.png,PA Highways
D2-1,SINGLE-LINE DISTANCE SIGN,"48""x8""",  48.00 ,  8.00 ,  2.67 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d2-1.svg,SVG
D2-1,SINGLE-LINE DISTANCE SIGN,"72""x12""",  72.00 ,  12.00 ,  6.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d2-1.svg,SVG
D2-2,DOUBLE-LINE DISTANCE SIGN,"48""x16""",  48.00 ,  16.00 ,  5.33 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d2-2.svg,SVG
D2-2,DOUBLE-LINE DISTANCE SIGN,"72""x24""",  72.00 ,  24.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d2-2.svg,SVG
D2-3,TRIPLE-LINE DISTANCE SIGN,"48""x24""",  48.00 ,  24.00 ,  8.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d2-3.svg,SVG
D2-3,TRIPLE-LINE DISTANCE SIGN,"72""x36""",  72.00 ,  36.00 ,  18.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d2-3.svg,SVG
D3-1,STREET NAME SIGN,"24""x9""",  24.00 ,  9.00 ,  1.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d3-1.svg,SVG
D3-1,STREET NAME SIGN,"30""x9""",  30.00 ,  9.00 ,  1.88 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d3-1.svg,SVG
D3-1,STREET NAME SIGN,"36""x9""",  36.00 ,  9.00 ,  2.25 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d3-1.svg,SVG
D3-2,SINGLE-LINE ADVANCE STREET NAME SIGN,"48""x8""",  48.00 ,  8.00 ,  2.67 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d3-2.svg,SVG
D3-2,SINGLE-LINE ADVANCE STREET NAME SIGN,"72""x12""",  72.00 ,  12.00 ,  6.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d3-2.svg,SVG
D3-3,DOUBLE-LINE ADVANCE STREET NAME SIGN,"48""x16""",  48.00 ,  16.00 ,  5.33 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d3-3.png,PA Highways
D3-3,DOUBLE-LINE ADVANCE STREET NAME SIGN,"72""x24""",  72.00 ,  24.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d3-3.png,PA Highways
D3-4,SINGLE-LINE OVERHEAD STREET NAME SIGN,"144""x24""",  144.00 ,  24.00 ,  24.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d3-4.png,PA Highways
D3-5,DOUBLE-LINE OVERHEAD STREET NAME SIGN,"144""x42""",  144.00 ,  42.00 ,  42.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d3-5.png,PA Highways
D4-1,PARKING AREA SIGN,"18""x15""",  18.00 ,  15.00 ,  1.88 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d4-1.svg,SVG
D4-1,PARKING AREA SIGN,"30""x24""",  30.00 ,  24.00 ,  5.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d4-1.svg,SVG
D4-10,DEPARTMENT RIDE SHARING PARKING LOT SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d4-10.png,PA Highways
D4-2,PARK AND RIDE SIGN,"30""x36""",  30.00 ,  36.00 ,  7.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d4-2.svg,SVG
D4-2,PARK AND RIDE SIGN,"36""x48""",  36.00 ,  48.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d4-2.svg,SVG
D5-1,REST AREA (____) MILE SIGN,"24""x30""",  24.00 ,  30.00 ,  5.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d5-1.svg,SVG
D5-1,REST AREA (____) MILE SIGN,"36""x48""",  36.00 ,  48.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d5-1.svg,SVG
D5-2,REST AREA ENTRANCE SIGN,"60""x24""",  60.00 ,  24.00 ,  10.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d5-2.svg,SVG
D5-5-1,(____) FEET (white-on-blue) SIGN,"24""x6""",  24.00 ,  6.00 ,  1.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d5-5-1.png,PA Highways
D5-5A,ROADSIDE TABLE SIGN,"24""x24""",  24.00 ,  24.00 ,  4.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d5-5a.png,PA Highways
D5-6-1,VISITOR INFO SIGN,"96""x18""",  96.00 ,  18.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d5-6-1.png,PA Highways
D5-6-2,VENDING MACHINES SIGN,"96""x18""",  96.00 ,  18.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d5-6-2.png,PA Highways
D5-6-3,FREE RESERVATION SERVICE SIGN,"96""x36""",  96.00 ,  36.00 ,  24.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d5-6-3.png,PA Highways
D6-2,ADVANCE SCENIC OVERLOOK SIGN,"48""x36""",  48.00 ,  36.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d6-2.png,PA Highways
D6-3,SCENIC OVERLOOK ENTRANCE SIGN,"72""x24""",  72.00 ,  24.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d6-3.png,PA Highways
D7-4,ATTRACTION SIGN,"48""x16""",  48.00 ,  16.00 ,  5.33 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,,
D7-4,ATTRACTION SIGN,"72""x24""",  72.00 ,  24.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,,
D8-1,ADVANCE WEIGH STATION SIGN,"60""x48""",  60.00 ,  48.00 ,  20.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d8-1.svg,SVG
D8-1,ADVANCE WEIGH STATION SIGN,"78""x60""",  78.00 ,  60.00 ,  32.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d8-1.svg,SVG
D8-1,ADVANCE WEIGH STATION SIGN,"96""x72""",  96.00 ,  72.00 ,  48.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d8-1.svg,SVG
D8-2,WEIGH STATION NEXT RIGHT SIGN,"108""x90""",  108.00 ,  90.00 ,  67.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d8-2.svg,SVG
D8-2,WEIGH STATION NEXT RIGHT SIGN,"66""x54""",  66.00 ,  54.00 ,  24.75 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d8-2.svg,SVG
D8-2,WEIGH STATION NEXT RIGHT SIGN,"84""x72""",  84.00 ,  72.00 ,  42.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d8-2.svg,SVG
D8-3,WEIGH STATION SIGN,"48""x42""",  48.00 ,  42.00 ,  14.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d8-3.svg,SVG
D8-3,WEIGH STATION SIGN,"66""x60""",  66.00 ,  60.00 ,  27.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d8-3.svg,SVG
D8-3,WEIGH STATION SIGN,"84""x78""",  84.00 ,  78.00 ,  45.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d8-3.svg,SVG
D9-10,VISITOR INFORMATION SIGN,"24""x24""",  24.00 ,  24.00 ,  4.00 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d9-10.svg,SVG
D9-10,VISITOR INFORMATION SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d9-10.svg,SVG
D9-11,DIESEL SIGN,"24""x24""",  24.00 ,  24.00 ,  4.00 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d9-11.svg,SVG
D9-11,DIESEL SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d9-11.svg,SVG
D9-1-2,EMERGENCY TELEPHONE SIGN,"30""x24""",  30.00 ,  24.00 ,  5.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d9-1-2.png,PA Highways
D9-13DP,TRAUMA CENTER PLAQUE SIGN,"24""x12""",  24.00 ,  12.00 ,  2.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d9-13dp.png,PA Highways
D9-13DP,TRAUMA CENTER PLAQUE SIGN,"30""x15""",  30.00 ,  15.00 ,  3.13 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d9-13dp.png,PA Highways
D9-14,STATE POLICE SIGN,"24""x24""",  24.00 ,  24.00 ,  4.00 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d9-14.svg,SVG
D9-14,STATE POLICE SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,SQUARE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d9-14.svg,SVG
D9-1A,TELEPHONE WITH ARROW SIGN,"18""x24""",  18.00 ,  24.00 ,  3.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d9-1a.png,PA Highways
D9-1A,TELEPHONE WITH ARROW SIGN,"24""x30""",  24.00 ,  30.00 ,  5.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d9-1a.png,PA Highways
D9-1A,TELEPHONE WITH ARROW SIGN,"30""x36""",  30.00 ,  36.00 ,  7.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d9-1a.png,PA Highways
D9-1B,TELEPHONE (____) MILE SIGN,"18""x24""",  18.00 ,  24.00 ,  3.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d9-1b.png,PA Highways
D9-1B,TELEPHONE (____) MILE SIGN,"24""x30""",  24.00 ,  30.00 ,  5.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/PA-images/d9-1b.png,PA Highways
